Players,Span,Matches,Innings,Not outs,Runs,High Score,Average,Balls faced,Strike rate,100s,50s,0s,4s,6s
RG Sharma (IND),2007-2024,159,151,19,4231,121*,32.05,3003,140.89,5,32,12,383,205
V Kohli (IND),2010-2024,125,117,31,4188,122*,48.69,3056,137.04,1,38,7,369,124
Babar Azam (PAK),2016-2024,123,116,15,4145,122,41.03,3211,129.08,3,36,6,440,72
PR Stirling (IRE),2009-2024,145,144,11,3601,115*,27.07,2675,134.61,1,23,13,418,128
MJ Guptill (NZ),2009-2022,122,118,7,3531,105,31.81,2602,135.7,2,20,3,309,173
Mohammad Rizwan (PAK),2015-2024,102,89,21,3313,104*,48.72,2620,126.45,1,29,4,278,92
DA Warner (AUS),2009-2024,110,110,12,3277,100*,33.43,2300,142.47,1,28,6,337,122
JC Buttler (ENG),2011-2024,124,114,23,3264,101*,35.86,2231,146.3,1,24,7,300,137
AJ Finch (AUS),2011-2022,103,103,12,3120,172,34.28,2189,142.53,2,19,8,309,125
GJ Maxwell (AUS),2012-2024,113,104,17,2600,145*,29.88,1680,154.76,5,11,4,217,134
Q de Kock (SA),2012-2024,92,91,9,2584,100,31.51,1868,138.32,1,16,7,264,103
KS Williamson (NZ),2011-2024,93,90,13,2575,95,33.44,2092,123.08,0,18,4,245,58
Shakib Al Hasan (BAN),2006-2024,129,127,17,2551,84,23.19,2105,121.18,0,13,9,258,53
Mohammad Hafeez (PAK),2006-2021,119,108,13,2514,99*,26.46,2060,122.03,0,14,7,251,76
EJG Morgan (ENG),2009-2022,115,107,21,2458,91,28.58,1805,136.17,0,14,3,186,120
DA Miller (SA/World),2010-2024,125,109,36,2437,106*,33.38,1734,140.54,2,7,2,160,117
Shoaib Malik (ICC/PAK),2006-2021,124,111,33,2435,75,31.21,1938,125.64,0,9,2,196,69
SA Yadav (IND),2021-2024,70,67,11,2424,117,43.28,1433,169.15,4,20,3,219,136
Mahmudullah (BAN),2007-2024,138,127,26,2394,64*,23.7,2032,117.81,0,8,5,183,74
A Balbirnie (IRE),2015-2024,110,106,4,2392,83,23.45,1941,123.23,0,12,6,254,68
Virandeep Singh (MAS),2019-2024,78,77,14,2320,116*,36.82,1842,125.95,1,16,5,197,101
KL Rahul (IND),2016-2022,72,68,8,2265,110*,37.75,1628,139.12,2,22,5,191,99
RD Berrington (SCOT),2008-2024,94,85,17,2194,100,32.26,1658,132.32,1,10,10,185,75
Mohammad Nabi (AFG),2010-2024,129,121,24,2165,89,22.31,1590,136.16,0,6,8,148,108
BB McCullum (NZ),2005-2015,71,70,10,2140,123,35.66,1571,136.21,2,13,3,199,91
S Ssesazi (UGA),2021-2024,82,80,10,2081,100*,29.72,1689,123.2,1,16,8,225,67
N Pooran (WI),2016-2024,95,87,9,2076,98,26.61,1528,135.86,0,12,2,142,132
AD Hales (ENG),2011-2022,75,75,8,2074,116*,30.95,1499,138.35,1,12,5,225,70
Mohammad Shahzad (AFG),2010-2023,73,73,3,2048,118*,29.25,1550,132.12,1,12,4,229,76
Sikandar Raza (ZIM),2013-2024,91,87,5,2037,87,24.84,1528,133.31,0,14,7,153,96
HG Munsey (SCOT),2015-2024,71,69,5,2006,132,31.34,1399,143.38,2,11,5,229,86
Muhammad Waseem (UAE),2021-2024,53,53,3,1977,112,39.54,1278,154.69,3,14,4,160,123
KJ O'Brien (IRE),2008-2021,110,103,10,1973,124,21.21,1507,130.92,1,5,12,165,82
Syed Aziz (MAS),2019-2024,80,78,13,1962,126,30.18,1377,142.48,1,15,6,188,93
Litton Das (BAN),2015-2024,89,87,3,1943,83,23.13,1557,124.79,0,11,5,198,57
RR Hendricks (SA),2014-2024,68,67,2,1942,87,29.87,1504,129.12,0,15,4,218,45
JP Duminy (SA),2007-2019,81,75,25,1934,96*,38.68,1532,126.24,0,11,6,138,71
LRPL Taylor (NZ),2006-2020,102,94,21,1909,63,26.15,1560,122.37,0,7,6,121,71
CH Gayle (WI),2006-2021,79,75,7,1899,117,27.92,1381,137.5,2,14,4,158,124
DJ Malan (ENG),2017-2023,62,60,8,1892,103*,36.38,1428,132.49,1,16,2,194,62
TM Dilshan (SL),2006-2016,80,79,12,1889,104*,28.19,1567,120.54,1,13,10,223,33
GD Phillips (NZ),2017-2024,78,69,12,1875,108,32.89,1319,142.15,2,10,3,135,90
MP O'Dowd (NED),2015-2024,70,68,5,1853,133*,29.41,1539,120.4,1,13,0,186,46
Fakhar Zaman (PAK),2017-2024,92,84,3,1848,91,22.81,1390,132.94,0,11,6,172,76
